x, y, z
 -0.122, 1.160, 0.427
 -0.122, 1.160, 0.427
 -0.122, 1.160, 0.427
 0.000, 1.160, 0.549
 0.000, 1.160, 0.549
 0.244, 0.977, 0.671
 0.244, 0.977, 0.671
 0.183, 0.793, 0.793
 0.183, 0.793, 0.793
 0.183, 0.793, 0.793
 0.244, 0.671, 0.854
 0.244, 0.671, 0.854
 0.488, 0.488, 0.854
 0.488, 0.488, 0.854
 0.671, 0.305, 0.610
 0.671, 0.305, 0.610
 0.610, 0.305, 0.549
 0.610, 0.305, 0.549
 0.610, 0.305, 0.549
 0.671, 0.244, 0.671
 0.671, 0.244, 0.671
 0.793, 0.305, 0.610
 0.793, 0.305, 0.610
 0.854, 0.305, 0.732
 0.854, 0.305, 0.732
 0.793, 0.183, 0.793
 0.793, 0.183, 0.793
 0.793, 0.183, 0.793
 0.732, 0.122, 0.916
 0.732, 0.122, 0.916
 0.977, 0.122, 0.854
 0.977, 0.122, 0.854
 1.099, 0.061, 0.793
 1.099, 0.061, 0.793
 1.099, 0.061, 0.793
 0.977, 0.061, 0.793
 0.977, 0.061, 0.793
 1.038, 0.122, 0.916
 1.038, 0.122, 0.916
 1.038, 0.183, 0.977
 1.038, 0.183, 0.977
 0.916, 0.183, 0.732
 0.916, 0.183, 0.732
 0.916, 0.183, 0.732
 0.977, 0.244, 0.671
 0.977, 0.244, 0.671
 1.160, 0.000, 0.793
 1.160, 0.000, 0.793
 1.160, -0.122, 0.549
 1.160, -0.122, 0.549
 1.099, 0.000, 0.549
 1.099, 0.000, 0.549
 1.099, 0.000, 0.549
 1.038, 0.000, 0.366
 1.038, 0.000, 0.366
 1.099, -0.183, 0.305
 1.099, -0.183, 0.305
 1.099, -0.183, 0.305
 1.160, -0.366, 0.244
 1.160, -0.366, 0.244
 1.221, -0.366, 0.366
 1.221, -0.366, 0.366
 1.282, -0.305, 0.122
 1.282, -0.305, 0.122
 1.282, -0.305, 0.122
 1.282, -0.305, 0.122
 1.282, -0.305, 0.122
 1.221, -0.244, 0.000
 1.221, -0.244, 0.000
 1.221, -0.427, -0.122
 1.221, -0.427, -0.122
 1.343, -0.305, -0.061
 1.343, -0.305, -0.061
 0.977, -0.244, 0.000
 0.977, -0.244, 0.000
 0.977, -0.244, 0.000
 0.977, -0.183, 0.122
 0.977, -0.183, 0.122
 1.099, 0.061, 0.305
 1.099, 0.061, 0.305
 0.977, 0.183, 0.427
 0.977, 0.183, 0.427
 1.160, 0.122, 0.732
 1.160, 0.122, 0.732
 1.160, 0.122, 0.732
 1.343, 0.183, 0.732
 1.343, 0.183, 0.732
 1.343, 0.305, 0.793
 1.343, 0.305, 0.793
 1.526, 0.244, 0.854
 1.526, 0.244, 0.854
 1.404, 0.244, 1.038
 1.404, 0.244, 1.038
 1.404, 0.244, 1.038
 1.404, 0.183, 1.160
 1.404, 0.183, 1.160
 1.465, 0.305, 0.916
 1.465, 0.305, 0.916
 1.526, 0.183, 1.038
 1.526, 0.183, 1.038
 1.648, 0.305, 1.038
 1.648, 0.305, 1.038
 1.648, 0.305, 1.038
 1.648, 0.244, 0.854
 1.648, 0.244, 0.854
 1.648, 0.183, 0.671
 1.648, 0.183, 0.671
 1.648, 0.000, 0.549
 1.648, 0.000, 0.549
 1.648, 0.000, 0.549
 1.953, 0.000, 0.488
 1.953, 0.000, 0.488
 1.831, 0.122, 0.549
 1.831, 0.122, 0.549
 1.953, 0.000, 0.549
 1.953, 0.000, 0.549
 1.953, 0.000, 0.549
 2.075, -0.061, 0.366
 2.075, -0.061, 0.366
 2.136, 0.000, 0.610
 2.136, 0.000, 0.610
 2.197, -0.061, 0.549
 2.197, -0.061, 0.549
 2.258, 0.000, 0.610
 2.258, 0.000, 0.610
 2.258, 0.000, 0.610
 2.197, -0.061, 0.549
 2.197, -0.061, 0.549
 2.258, -0.061, 0.305
 2.258, -0.061, 0.305
 2.319, -0.183, 0.488
 2.319, -0.183, 0.488
 2.136, -0.244, 0.366
 2.136, -0.244, 0.366
 2.136, -0.244, 0.366
 2.014, -0.366, 0.366
 2.014, -0.366, 0.366
 2.014, -0.244, 0.427
 2.014, -0.244, 0.427
 2.197, -0.061, 0.488
 2.197, -0.061, 0.488
 2.197, -0.061, 0.488
 2.136, -0.122, 0.549
