x, y, z
 0.341, -0.952, 0.054
 0.341, -0.952, 0.054
 0.341, -0.952, 0.054
 0.343, -0.952, 0.054
 0.343, -0.952, 0.054
 0.342, -0.952, 0.057
 0.342, -0.952, 0.057
 0.342, -0.952, 0.057
 0.343, -0.952, 0.058
 0.343, -0.952, 0.058
 0.343, -0.950, 0.052
 0.343, -0.950, 0.052
 0.345, -0.951, 0.053
 0.345, -0.951, 0.053
 0.345, -0.951, 0.053
 0.353, -0.949, 0.046
 0.353, -0.949, 0.046
 0.360, -0.952, 0.054
 0.360, -0.952, 0.054
 0.351, -0.953, 0.060
 0.351, -0.953, 0.060
 0.351, -0.953, 0.060
 0.352, -0.953, 0.059
 0.352, -0.953, 0.059
 0.345, -0.957, 0.061
 0.345, -0.957, 0.061
 0.358, -0.951, 0.061
 0.358, -0.951, 0.061
 0.355, -0.956, 0.048
 0.355, -0.956, 0.048
 0.355, -0.956, 0.048
 0.341, -0.958, 0.040
 0.341, -0.958, 0.040
 0.330, -0.957, 0.047
 0.330, -0.957, 0.047
 0.328, -0.964, 0.046
 0.328, -0.964, 0.046
 0.342, -0.957, 0.049
 0.342, -0.957, 0.049
 0.342, -0.957, 0.049
 0.354, -0.959, 0.050
 0.354, -0.959, 0.050
 0.346, -0.960, 0.066
 0.346, -0.960, 0.066
 0.334, -0.957, 0.065
 0.334, -0.957, 0.065
 0.324, -0.956, 0.066
 0.324, -0.956, 0.066
 0.324, -0.956, 0.066
 0.324, -0.958, 0.066
 0.324, -0.958, 0.066
 0.327, -0.958, 0.071
 0.327, -0.958, 0.071
 0.320, -0.960, 0.075
 0.320, -0.960, 0.075
 0.328, -0.954, 0.068
 0.328, -0.954, 0.068
 0.328, -0.954, 0.068
 0.311, -0.958, 0.078
 0.311, -0.958, 0.078
 0.287, -0.960, 0.076
 0.287, -0.960, 0.076
 0.285, -0.962, 0.070
 0.285, -0.962, 0.070
 0.289, -0.963, 0.079
 0.289, -0.963, 0.079
 0.289, -0.963, 0.079
 0.283, -0.965, 0.083
 0.283, -0.965, 0.083
 0.285, -0.966, 0.076
 0.285, -0.966, 0.076
 0.292, -0.967, 0.080
 0.292, -0.967, 0.080
 0.276, -0.971, 0.081
 0.276, -0.971, 0.081
 0.276, -0.971, 0.081
 0.283, -0.968, 0.073
 0.283, -0.968, 0.073
 0.299, -0.964, 0.071
 0.299, -0.964, 0.071
 0.272, -0.973, 0.066
 0.272, -0.973, 0.066
 0.272, -0.973, 0.066
 0.277, -0.970, 0.061
 0.277, -0.970, 0.061
 0.283, -0.971, 0.060
 0.283, -0.971, 0.060
 0.290, -0.972, 0.062
 0.290, -0.972, 0.062
 0.281, -0.971, 0.073
 0.281, -0.971, 0.073
 0.281, -0.971, 0.073
 0.264, -0.972, 0.072
 0.264, -0.972, 0.072
 0.271, -0.970, 0.079
 0.271, -0.970, 0.079
 0.255, -0.971, 0.080
 0.255, -0.971, 0.080
 0.262, -0.973, 0.083
 0.262, -0.973, 0.083
 0.262, -0.973, 0.083
 0.270, -0.976, 0.084
 0.270, -0.976, 0.084
 0.263, -0.974, 0.080
 0.263, -0.974, 0.080
 0.240, -0.978, 0.078
 0.240, -0.978, 0.078
 0.237, -0.979, 0.082
 0.237, -0.979, 0.082
 0.237, -0.979, 0.082
 0.220, -0.979, 0.085
 0.220, -0.979, 0.085
 0.324, -0.982, 0.083
 0.324, -0.982, 0.083
 0.389, -1.001, 0.122
 0.389, -1.001, 0.122
 0.306, -0.989, 0.096
 0.306, -0.989, 0.096
 0.306, -0.989, 0.096
 0.241, -0.994, 0.104
 0.241, -0.994, 0.104
 0.227, -0.996, 0.091
 0.227, -0.996, 0.091
 0.234, -1.001, 0.116
 0.234, -1.001, 0.116
 0.264, -1.020, 0.125
 0.264, -1.020, 0.125
 0.264, -1.020, 0.125
 0.253, -1.020, 0.112
 0.253, -1.020, 0.112
 0.269, -1.027, 0.105
 0.269, -1.027, 0.105
 0.284, -1.031, 0.093
 0.284, -1.031, 0.093
 0.326, -1.025, 0.082
 0.326, -1.025, 0.082
 0.326, -1.025, 0.082
 0.404, -1.032, 0.075
 0.404, -1.032, 0.075
 0.397, -1.029, 0.074
 0.397, -1.029, 0.074
 0.469, -1.073, 0.119
 0.469, -1.073, 0.119
 0.491, -1.092, 0.108
 0.491, -1.092, 0.108
 0.491, -1.092, 0.108
 0.409, -1.180, 0.107
 0.409, -1.180, 0.107
 0.255, -1.200, 0.156
 0.255, -1.200, 0.156
 0.214, -1.193, 0.186
 0.214, -1.193, 0.186
 0.252, -1.155, 0.172
 0.252, -1.155, 0.172
 0.252, -1.155, 0.172
 0.185, -1.187, 0.240
 0.185, -1.187, 0.240
 0.081, -1.095, 0.280
 0.081, -1.095, 0.280
 0.191, -1.052, 0.274
 0.191, -1.052, 0.274
 0.216, -1.057, 0.211
 0.216, -1.057, 0.211
 0.216, -1.057, 0.211
 0.318, -1.034, 0.166
 0.318, -1.034, 0.166
 0.247, -1.037, 0.116
 0.247, -1.037, 0.116
 0.280, -1.025, 0.070
 0.280, -1.025, 0.070
 0.280, -1.025, 0.070
 0.246, -1.075, 0.041
 0.246, -1.075, 0.041
 0.211, -1.060, 0.046
 0.211, -1.060, 0.046
 0.147, -1.024, 0.067
 0.147, -1.024, 0.067
 0.144, -0.967, 0.079
 0.144, -0.967, 0.079
 0.144, -0.967, 0.079
 0.189, -0.930, 0.093
 0.189, -0.930, 0.093
 0.094, -0.951, 0.087
 0.094, -0.951, 0.087
 0.022, -0.939, 0.110
 0.022, -0.939, 0.110
 0.019, -0.914, 0.104
 0.019, -0.914, 0.104
 0.019, -0.914, 0.104
 0.047, -0.898, 0.099
 0.047, -0.898, 0.099
 -0.012, -0.901, 0.100
 -0.012, -0.901, 0.100
 -0.002, -0.877, 0.112
 -0.002, -0.877, 0.112
 -0.002, -0.877, 0.112
 0.020, -0.878, 0.104
 0.020, -0.878, 0.104
 0.000, -0.895, 0.065
 0.000, -0.895, 0.065
 -0.028, -0.917, 0.029
 -0.028, -0.917, 0.029
 -0.061, -0.953, 0.000
 -0.061, -0.953, 0.000
 -0.061, -0.953, 0.000
 -0.060, -0.929, -0.011
 -0.060, -0.929, -0.011
 -0.029, -0.961, -0.005
 -0.029, -0.961, -0.005
 -0.119, -0.924, 0.019
 -0.119, -0.924, 0.019
 -0.133, -0.936, 0.054
 -0.133, -0.936, 0.054
 -0.133, -0.936, 0.054
 -0.058, -0.928, 0.079
 -0.058, -0.928, 0.079
 -0.062, -0.971, 0.113
 -0.062, -0.971, 0.113
 -0.075, -0.958, 0.155
 -0.075, -0.958, 0.155
 -0.075, -0.958, 0.155
 -0.097, -0.952, 0.158
 -0.097, -0.952, 0.158
 -0.056, -0.933, 0.144
 -0.056, -0.933, 0.144
 -0.028, -0.987, 0.090
 -0.028, -0.987, 0.090
 -0.121, -0.998, 0.056
 -0.121, -0.998, 0.056
 -0.121, -0.998, 0.056
 -0.151, -0.991, 0.084
 -0.151, -0.991, 0.084
 -0.134, -0.989, 0.119
 -0.134, -0.989, 0.119
 -0.096, -0.980, 0.126
 -0.096, -0.980, 0.126
 -0.153, -0.962, 0.144
 -0.153, -0.962, 0.144
 -0.153, -0.962, 0.144
 -0.178, -0.941, 0.164
 -0.178, -0.941, 0.164
 -0.168, -0.923, 0.177
 -0.168, -0.923, 0.177
 -0.106, -0.952, 0.145
 -0.106, -0.952, 0.145
 -0.106, -0.952, 0.145
 -0.102, -0.990, 0.095
 -0.102, -0.990, 0.095
 -0.099, -0.990, 0.061
 -0.099, -0.990, 0.061
 -0.083, -1.007, 0.044
 -0.083, -1.007, 0.044
 -0.082, -1.003, 0.002
 -0.082, -1.003, 0.002
 -0.082, -1.003, 0.002
 -0.158, -1.001, -0.030
 -0.158, -1.001, -0.030
 -0.159, -1.002, -0.032
 -0.159, -1.002, -0.032
 -0.202, -0.993, -0.041
 -0.202, -0.993, -0.041
 -0.197, -0.939, 0.094
 -0.197, -0.939, 0.094
 -0.197, -0.939, 0.094
 -0.205, -0.954, 0.117
 -0.205, -0.954, 0.117
 -0.212, -0.944, 0.168
 -0.212, -0.944, 0.168
 -0.175, -0.935, 0.209
 -0.175, -0.935, 0.209
 -0.150, -0.977, 0.198
 -0.150, -0.977, 0.198
 -0.150, -0.977, 0.198
 -0.151, -0.953, 0.210
 -0.151, -0.953, 0.210
 -0.149, -0.969, 0.223
 -0.149, -0.969, 0.223
 -0.126, -0.983, 0.221
 -0.126, -0.983, 0.221
 -0.126, -0.983, 0.221
 -0.136, -0.970, 0.185
 -0.136, -0.970, 0.185
 -0.145, -0.979, 0.129
 -0.145, -0.979, 0.129
 -0.129, -0.979, 0.096
 -0.129, -0.979, 0.096
 -0.129, -0.979, 0.096
 -0.140, -0.967, 0.062
 -0.140, -0.967, 0.062
 -0.148, -0.971, 0.043
 -0.148, -0.971, 0.043
 -0.160, -0.966, 0.052
 -0.160, -0.966, 0.052
 -0.147, -0.978, 0.047
 -0.147, -0.978, 0.047
 -0.147, -0.978, 0.047
 -0.153, -0.964, 0.064
 -0.153, -0.964, 0.064
 -0.149, -0.963, 0.085
 -0.149, -0.963, 0.085
 -0.135, -0.967, 0.111
 -0.135, -0.967, 0.111
 -0.156, -0.980, 0.164
 -0.156, -0.980, 0.164
 -0.156, -0.980, 0.164
 -0.163, -0.954, 0.208
 -0.163, -0.954, 0.208
 -0.142, -0.961, 0.241
 -0.142, -0.961, 0.241
 -0.126, -0.953, 0.267
 -0.126, -0.953, 0.267
 -0.111, -0.970, 0.263
 -0.111, -0.970, 0.263
 -0.111, -0.970, 0.263
 -0.078, -0.983, 0.202
 -0.078, -0.983, 0.202
 -0.053, -1.050, 0.150
 -0.053, -1.050, 0.150
 -0.047, -1.055, 0.098
 -0.047, -1.055, 0.098
 -0.023, -1.071, 0.053
 -0.023, -1.071, 0.053
 -0.023, -1.071, 0.053
 -0.020, -1.077, 0.012
 -0.020, -1.077, 0.012
 -0.014, -1.066, -0.023
 -0.014, -1.066, -0.023
 -0.013, -1.070, -0.016
 -0.013, -1.070, -0.016
 -0.013, -1.070, -0.016
 -0.031, -1.049, 0.022
 -0.031, -1.049, 0.022
 -0.014, -1.054, 0.063
 -0.014, -1.054, 0.063
 -0.024, -1.045, 0.101
